ID,Code,Location,Prefecture,Site,Receiver,Antenna
電子基準点,,,,,,
局番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
950421,EL05034605401,一宇,徳島県,剣山スキー場,TRIMBLE ALLOY,TRM159900.00    GSI
950422,EL05034559302,阿南２,徳島県,阿南市立椿保育所,TOPCON NETG5,TRM159900.00    GSI
950423,EL05034447203,日和佐,徳島県,国土交通省日和佐国道出張所,TRIMBLE ALLOY,TRM159900.00    GSI
950424,EL05034324903,徳島海南,徳島県,南阿波ピクニック公園,TOPCON NETG5,TRM159900.00    GSI
950425,EL05134526502,内海,香川県,内海総合運動公園,TOPCON NETG5,TRM159900.00    GSI
950426,EL05134310902,香川大川,香川県,大川町みろく自然公園,TRIMBLE ALLOY,TRM159900.00    GSI
950427,EL05133256701,三野,香川県,三豊市立大見小学校,TOPCON NETG5,TRM159900.00    GSI
950428,EL05133058102,豊浜,香川県,観音寺市南部多目的集会場,TOPCON NETG5,TRM59800.80     GSI
950429,EL05133179401,琴南,香川県,まんのう町交通公園,TRIMBLE ALLOY,TRM159900.00    GSI
950430,EL05132079902,今治,愛媛県,大新田公園,NETG3,TPSCR.G5        GSI
950431,EL05033742302,伊予三島,愛媛県,四国中央市翠波高原,TRIMBLE ALLOY,TRM159900.00    GSI
950432,EL05033710602,西条,愛媛県,西条市立玉津小学校,NETR9,TRM59800.80     GSI
